Meteorite;Latitude;Longitude;Group;Petrographic Type;Weathering Grade;Fayalite Content;Ferrosilite Content;Magnetic Susceptibility
MV110;25.0883055555556;69.906711;H;5;3;;;4.85
MV109;25.088103;69.906815;H;5;1;;;5.37
J557b;24.962069;69.814902;H;5;2;;;4.92
GB107;25.07611;69.94472;H;5;1;;;5.25
GB137;25.07619;69.94413;L;6;1;;;4.67



