Name;TWK (g);logX;Class
GB025;37,4;5,31;
MA177;37,3;4,78;
MA071;37,16;4,65;L
GB148a;36,74;4,13;LL
GA293;36,65;5,70;Mesosiderite
RB051 (Catalina 469);34,463;5,16;H
RB044 (Catalina 468);34,451;5,02;H
RB070 (Catalina 463);34,296;3,38;Eucrite
RM092;34;4,05;LL
GA315;32,96;5,12;H
MA197;31,96;5,36;Mesosiderite
GB303;31,651;4,00;LL
MA196;31,3;5,16;H
GB205;31,203;4,13;LL
GB297;31,156;4,00;LL
GB301 (Catalina 457);30,805;4,58;H
GB117;30,596;4,11;LL
GB096 (Catalina 399);30,429;5,60;Mesosiderite
RB071;30,343;4,74;
RM064 (Catalina 060);30;4,95;H
RB027 (Catalina 467);29,764;5,27;H
JG171;29,6647;4,58;L
JG167;29,3354;5,22;H
GB196a (Catalina 433);29,261;5,12;H
RB254;29,2476;4,07;LL
RB092;29,027;4,08;LL
RM001 (Catalina 045);29;4,09;LL
GB066 (Catalina 487);28,79;4,68;H
GB197b;28,703;5,18;H5
RM094;28,5;4,10;LL
GB266;28,428;4,08;LL
RB250;28,3135;3,94;LL
RB004 (Catalina 466);27,34;5,27;H
RB088 (Catalina 482);27,07;5,11;H
GB090a (Catalina 446);26,965;5,02;H
RB021 (Catalina 492);26,759;5,21;H
GB203b;26,497;4,17;LL
RM439 (Catalina 246);26;4,65;L
MA259;25,79;5,31;Mesosiderite
GB122 (Catalina 428);25,757;3,85;LL
MA290;25,2;5,20;H
GB218;25,023;4,55;LL
GB163 (Catalina 440);24,947;4,42;L
GA211;24,5;4,95;H
GB085 (Catalina 442);24,377;4,35;L
GB214;24,345;4,05;LL
GB203a;24,312;4,10;LL
LA042;24,29;5,23;H
RM022 (Catalina 226);23,8;4,17;L
GB140 (Catalina 435);23,576;4,20;LL
GB263;23,45;4,05;LL
RM103 (Catalina 050);23,2;3,99;LL
MA221;22,57;5,65;Mesosiderite
Dm138 (Catalina 478);22,27;5,10;H
GB116 (Catalina 471);22,191;4,11;LL
GB299;21,489;4,09;LL
GB262;21,32;4,09;LL
RB207 (Catalina 483);21,255;3,99;LL
RB134;20,9348;4,07;LL
GA312;20,7;5,26;H
Dm139;20,49;5,20;H
RB135;20,3926;4,09;LL
LA026;20,29;4,46;L
GB072;20,174;4,05;LL
RM041b (Catalina 034);20;4,05;LL
GB158 (Catalina 460);19,782;4,95;H
GB211;19,417;4,04;LL
GB295;19,202;4,04;LL
RB200;18,9409;4,05;LL
GB155 ;18,849;5,26;H
RB009 (Catalina 458);18,627;5,06;H
RB253;18,4786;4,06;LL
GB099 (Catalina 452);18,316;4,64;L
RM516 (Catalina 188);18;5,18;H
RB125;17,9048;4,01;LL
RM034 (Catalina 046);17,1;3,62;LL
RB248;16,8257;4,01;LL
GB149 (Catalina 432);16,44;3,90;LL
RB120;15,5809;4,07;LL
RB241;15,5499;4,05;LL
GB061 (Catalina 486);15,433;5,05;H
RB189;15,0009;4,04;LL
GB164 (Catalina 489);14,732;4,41;L
GB068 (Catalina 454);12,908;3,97;LL
GB081 (Catalina 436);12,632;4,30;L
GB178;12,454;4,41;L
GB086a (Catalina 470);12,272;4,26;LL
GB124 (Catalina 461);11,727;4,55;H
RB231;11,4098;4,07;LL
RM088;11,3;4,08;LL
RB183;11,0612;4,08;LL
RB238;10,9555;4,02;LL
RB193;10,5414;4,04;LL
GB049 (Catalina 453);9,827;4,58;L
RM051;9,7;4,95;H
GB115 (Catalina 439);8,989;3,93;LL
RB066;8,9868;4,08;LL
RB188;8,5296;4,07;LL
GB293;8,174;3,68;LL
RB038 (Catalina 462);7,767;3,17;LL
GB060 (Catalina 485);7,677;4,09;LL
RB252;7,5215;4,06;LL
RB184;7,3545;4,02;LL
RB080 (Catalina 493);7,078;5,01;H
RM509 (Catalina 163);7;4,93;H
MV110 (Catalina 423);6,19;4,85;H
RB191;5,7262;4,02;LL
RB138;5,4981;3,88;LL
RB223;4,9594;3,93;LL
RB218;4,676;3,9;LL
RB236;4,3595;3,97;LL
RB232;4,3367;4,07;LL
GB287;4,313;3,98;LL
RB229;4,2685;4,04;LL
MV106 (Catalina 464);3,03;5,39;H
GB084c (Catalina 456);1,936;4,75;H
MV109 (Catalina 424);1,74;5,37;H
GB278 (Catalina 443);1,1407;3,69;LL
